set_id,instruction,original_w,original_h
inst-0387,"Reorder chapter rows: titles left, timestamps in a narrow right-aligned column, chevrons or playing marks far right.",390,844
inst-0388,Group the popular questions by topic.,390,844
inst-0389,Separate content by the kind of engagement received. Make it quick to create a new post.,390,844
inst-0390,Make it show what teammates did to shared files. And each row should read as one left-aligned block.,390,560
inst-0391,Make the lesson easier to verify before sharing.,390,560
inst-0392,Show order in the three middle rows.,390,844
inst-0394,"Turn the top card and to-dos into a shoot call sheet. Then rebuild the whole screen for a wide landscape tablet. Change the yellow's tone on badge, done circles, and tab marker.",390,844
inst-0396,Let a course be saved right from the results list. Then change the filter chips' color feel.,390,844
inst-0397,Add ride length and terminal arrival time to the time labels. And let the driver row do more.,390,560
inst-0398,Change how the situation feels. Change the date and time selection order. Make selected dates and times feel different.,390,560
inst-0400,"Card's bottom total larger and bolder than the two rows above, extra space above, same spot.",390,844
inst-0401,"Make eligibility central for individual students renewing education plans. Put the credit panel directly below the introduction, making its amount more prominent than the banner image. Make the other offers list feel different.",390,560
inst-0404,"Change how this screen is organized. In the top block, push the title, quiet the label. And round the white panel's corners more and lift it off the grey background with a light gray shadow.",390,560
inst-0405,Add a content summary to the episode details. Separate speed from the main playback controls.,390,560
inst-0406,"Add a text size control to the top bar. Then, change what stands out in the author info.",390,844
inst-0407,Give it a different overall feel. Separate company information from legal information. Add a copyright notice to the version details.,390,844
inst-0408,Group the list by notice type instead of New / Earlier. Then show the account or service name on each notification — and let me find one specific past notification.,390,844
inst-0409,"Turn the product listing editor into a workshop editor, replacing Condition with a date and time field.",390,560
inst-0410,Change title and the line under the button to magazine subscription.,390,560
inst-0411,Change the order in the editing toolbar.,390,844
inst-0413,"Turn the feed into local bird sightings, with species, place, and time in each post’s context line. Make the observed species the first detail people notice.",390,844
inst-0414,Group the email field through the send button into two stages. And colours all blend together — rework them.,390,844
inst-0415,Let parents manage a shared learning balance for linked learners. Change what stands out in activity details. Let parents distribute shared credits to a linked learner.,390,844
inst-0416,Change how the selected-date agenda is grouped. Change what appears first in month controls.,390,844
inst-0417,"Split ""Scanned today"" into meal groups, each led by a time-span and calorie subtotal row; drop per-row times. And retone the white area below the viewfinder.",390,844
inst-0418,Let teens report DMs and receive age-appropriate safety guidance.,390,560
inst-0419,Recommend button looks too loud — recolor it calmer.,390,560
inst-0420,Change the recipient line order. Change which support action stands out first.,390,560
inst-0422,Make this a desktop dashboard with left-rail navigation and financial summaries and lists across a wide two-column workspace. Give the spending summary a different feel.,390,844
inst-0423,"Rebuild for desktop: score and bars on the left, reviews on the right, no divider. And average score reads first; make the title lead instead.",390,560
inst-0424,Change the invite code panel’s color.,390,844
inst-0425,"Should read as canceling a clinic visit, time over price.",390,560
inst-0427,Make clear this email gets verified before tapping the button.,390,844
inst-0428,Add an edit-goal button to the bottom of the progress card.,390,560
inst-0429,Give the selected first place row a background color.,390,560
inst-0432,"Recompose for a smartwatch: drop the photo, number centered with minus/plus beside, save below, guidance one line.",390,560
inst-0433,Make the empty-state card about self-employed tax reserves. Change when the tax estimate note registers. Restyle the primary button in navy with slightly rounded corners and a clean sans-serif label.,390,560
inst-0434,Rebuild the whole billing screen for a wide tablet screen. Then let every invoice row download its receipt. Recolor the top card so pink stays only an accent.,390,844
inst-0436,Add a button to use that draft in the last bubble.,390,844
inst-0437,"Reduce the intro panel’s height and internal spacing, shrink the note thumbnail, keeping its title above the summary. Make the current selection immediately recognizable.",390,560
inst-0438,"1. Read as a wide desktop transfer panel, not a phone card. 2. Show current transfer speed too, not just time left.",390,560
inst-0439,Make the introductory heading smaller.,390,844
inst-0443,Turn the suggestions screen into a volunteer-candidate screen. Split up the candidate list. Add availability to each candidate’s name.,390,560
inst-0444,"Add position numbers before each thumbnail in ""Up next"", and a ""playing next"" label above the first row. Then a sort button showing the current order under the autoplay note in the ""Up next"" header. The play button's color should feel different.",390,844
inst-0445,"On tablet, make the transfer panel two columns: upload summary left, file details right.",390,844
inst-0446,Add a save action to the linked item. Keep the chair visible while making the discussion more prominent.,390,844
inst-0447,"Should read as a clinic pre-visit intake request, not money. Then, show selected-out-of-total count at the right end of the group label row above the list.",390,560
inst-0451,Add rarity information to the achievement details.,390,560
inst-0452,"Under the price range track, add the lowest and highest available price in small gray at each end.",390,560
inst-0453,Add the timezone to the practice reminder schedule. Make the content cards feel different.,390,844
inst-0454,Change the screen to a desktop booking workspace with left sidebar navigation and centered booking content beside it. Make each time clearly belong to its corresponding date. Change how much the advisor card explains.,390,844
inst-0455,"Add a line under the progress bar naming the stage in progress, in the same small gray. Show the place name and the line below it in full. That said, it reads as a warning — make it feel like steady progress.",390,560
inst-0457,"Add a line to the title explaining what this template is. The pink illustration band is too big, shrink it, and tone down the two unselected license rows.",390,844
inst-0459,"Rebuild for desktop: post summary in a left column, wider comment thread on the right, composer below it. Make the pinned comment read apart from the rest, and then make it clear which evening and which place right away.",390,560
inst-0460,"Add a last-updated date alongside the existing publication date and reading time. After the summary, show visual context before article provenance.",390,844
inst-0461,Make the status icon feel more cautionary.,390,560
inst-0462,Add a pick-another-region button to the bottom action area.,390,844
inst-0465,Change the Billing screen into a team workspace overview centered on organization-level seat billing. Change the next-charge card’s content order.,390,560
inst-0466,1. Group the bottom white card differently. 2. Add a pause control to the story top bar.,390,844
inst-0468,Split the track list into added and suggested groups.,390,844
inst-0470,"Turn the whole leaderboard into a department challenge — each row a team, the streak line a headcount.",390,560
inst-0471,Make time commitments easy to distinguish. Add saving to the featured collection card.,390,844
inst-0472,"Add one line of remaining listening time under the progress bar, left-aligned with the played count. Then make each recording title read before its initials.",390,844
inst-0474,"Replace the dot with a status word at each Marks row's end — open in violet, resolved in gray. Then add a filter to the Marks heading row. Make the tool bar feel as solid as the image above.",390,560
inst-0476,"Make the Live Activity a smartwatch layout: center arrival estimate and progress vertically, omitting the detailed footer. Change what stands out in status details",390,560
inst-0477,"Make what's done and what's left obvious at a glance. Then, add one gray line under the bar with the study time left and last completed date.",390,844
inst-0479,"Rework the order of lines around the title. Make the ""Up next"" list read as an ordered sequence. Then change the overall colour feel.",390,844
inst-0481,"Name the employee on each stay and show department budget in summary. Group each stay with its own extra under a destination heading, and drop the separate extras section. Trip strip under the title is too pale — rework its tone.",390,844
inst-0483,"Group ""Other ways to verify"" differently, and one more line under the timer.",390,844
inst-0485,"Link the three rows with a left purple line, make the in-progress step taller, status under the name. Under the finish date add this week's lessons done vs target, small dark gray like the date. Then add a button to the card to resume the unit.",390,560
inst-0486,Change the loading card’s position. Turn the loading note beneath the status message into a compact cancel-sharing text button.,390,844
inst-0487,Add total booked time and longest free gap to the header. And Accept and Decline to the last event too.,390,844
inst-0488,"Change the product list heading structure. Restyle the top bar in the assistant mark’s plum, with white title text and pale plum icon buttons.",390,844
inst-0489,"Add the download date to the saved-item metadata. Restyle the ""Device Storage"" panel.",390,844
inst-0491,"Keep only the essentials, readable at a glance on a watch.",390,560
inst-0493,Change how the result count is shown. Make the page title read first and service identity secondary.,390,844
inst-0494,Change what this screen is about. Then give the top button a different tone.,390,560
inst-0495,Make the main preview more prominent.,390,560
inst-0496,Show which card was charged right on this screen.,390,560
inst-0498,"Move the statistics strip directly above the model allocation rows in one at-a-glance block, followed by About. Add participation expectations to the About section. Let users open each full group note.",390,844
inst-0500,Turn the call screen into a remote care consultation. Replace the consultation metadata with the visit reason and scheduled time.,390,844
inst-0501,"Move the ""Attached readings"" block up, and make the top bar read as its own band.",390,844
inst-0502,Adapt the screen for a desktop display. Give the main card a different feel.,390,560
inst-0503,"Add a tappable 'Discard edits' at the right end of the top context line, red like the archive text below, and the weekly target line reads too loud, so make it quieter.",390,844
inst-0504,"Turn the booking history into equipment rental history, replacing each row’s destination with the pickup site. Differentiate the rental date from the reference number. Add equipment category filtering to the history tools row.",390,560
inst-0505,"Widen to a desktop window, center the follower list, move the bottom tabs to a left vertical nav. Add search to the follower list. Then make both group headings clearly larger and near-black, with more space above them than below.",390,844
inst-0506,Adapt the legal document screen for desktop. Change the feel of the Key Points panel.,390,844
inst-0507,Rework how the middle sections read in order. Then give the bottom order bar a tone apart from the content.,390,844
inst-0508,Add learner satisfaction to the course information. Make the bottom enrollment bar more prominent.,390,844
inst-0509,"Show the courier's progress in the run, not the shopper's parcel. Then fill a watch screen with the card, drop the top labels, center status, progress and time large.",390,560
inst-0510,"Change the order within the instruction block. Give the map preview an off-white base, light gray roads, and header-matching dark green route markers.",390,560
inst-0511,Change the subscription information order.,390,560
inst-0512,"Under the green hours figure, add the change vs last week with an arrow, in small dark gray.",390,560
inst-0513,Prioritize the courses in the course progress list. Make the active-course count behave differently.,390,844
inst-0514,"Show live buyer interest, not just cumulative totals, and let the seller keep photos and price history even when deleting.",390,560
inst-0515,"Show the recent followers list differently. Add a follow-back count to ""Recent followers"".",390,844
inst-0516,The subjects should read as two kinds at a glance. And let the reminder time be changed on that card.,390,844
inst-0517,"Swap headline through saved list to offline job packets, and show by when offline packets must be refreshed.",390,560
inst-0521,"Show more info per Ways to begin row. Make the options header count switch the sort order, and then let the heading and Deposit button lead the top.",390,844
inst-0523,"Rework how the ""New this week"" list is structured, Up next in your queue needs more info. And then give Continue listening panel more to do.",390,844
inst-0524,Change the podcast feedback screen to language-learning audiobook chapters. Change the satisfaction scale to measure chapter comprehension.,390,844
inst-0525,"Rebuild for tablet — big card left, small rows right, pin count footer full width below. And let readers reorder the smaller pinned rows.",390,560
inst-0527,Rework the trip summary and destination list.,390,560
inst-0528,Change what reads first in the People with access count.,390,844
inst-0529,Change the course access screen to a team language-training plan.,390,844
inst-0530,"Make card near-black, title and finished count white, small text light gray, label and progress bar magenta.",390,560
inst-0531,Adapt the screen for a desktop display. Change what stands out in invitations.,390,560
inst-0533,"Make this a blood-draw appointment booking with prep info. Make the selected date and time stand out more. And make the selected day, time slot, and confirm button deep green, with pale green fill for the day.",390,560
inst-0534,Add saved-plan editing to the bottom button. Make the success card feel different.,390,560
inst-0536,"Make the card a staff alert; swap the personal top line for the patient name and study night. Show clearly at which point the upload broke. And then, let the bottom buttons do more.",390,560
inst-0537,"Make the active learning item the first focus. Change the screen surfaces to white and light gray, with navy for active states and primary actions.",390,844
inst-0538,Make this a lesson room showing who's present — and make the initials squares feel different.,390,844
inst-0539,Lead from order confirmation to the next action before purchase details.,390,844
inst-0540,Let users read the full note before picking a reason.,390,560
inst-0541,"Turn the trip-stop reorder panel into a dispatcher delivery sequence, replacing stay details with delivery windows. Make the delivery sequence clearer in the stop rows.",390,560
inst-0542,Group the two dates under Schedule and redemption under Liquidity in compact sections on the offer details card. Make the issuer name under the product title clickable.,390,844
inst-0543,"Put a ""Soonest to expire"" sort control at the right end of the ""Removed from saved"" heading row, and make it obvious what to tap in each row.",390,844
inst-0545,Let readers sort by price or distance from the card top.,390,560
inst-0547,Top matches strip sits at the bottom — move it up.,390,844
inst-0548,Adapt the Account screen for tablet. Make this week’s comparison with last week immediately clear.,390,844
inst-0549,"Before sign-in, show this is business banking, not personal, and let users switch country right from the top bar.",390,844
inst-0550,Change what stands out in post details.,390,560
inst-0551,"Remove the outline on both list boxes, fill with very light warm gray, keep row dividers.",390,844
inst-0553,Make the serving count adjustable.,390,844
inst-0554,"Pull the grayed current-folder row out of the list into the ""Currently in"" line under the title.",390,560
inst-0555,"Split the session details list into two compact groups, with recording context above and storage destination below.",390,844
inst-0556,Let users apply a coupon without leaving this screen.,390,844
inst-0558,"Rework the featured items card structure. Then move the progress bar and times under the title, above the play row; thicker bar, larger times.",390,844
inst-0559,Add the card network before the ending digits in each saved card title.,390,844
inst-0560,Make the upload status the loudest thing on screen.,390,844
inst-0561,Rework the episode summary at the top. Make the chapter list feel different.,390,844
inst-0563,Adapt the confirmation dialog for desktop screens.,390,560
inst-0564,"Split the ""Your spaces"" list into today, this week, earlier, each with a gray label above.",390,844
inst-0567,Show what goes at grace period start versus the end.,390,560
inst-0568,Reduce the height of the bottom navigation. Emphasize the workout video playback controls.,390,844
inst-0569,"Episodes just run flat — should read as grouped by air timing. Then, make the top title block read as its own block.",390,844
inst-0571,"Turn this into a teacher grading a student's assignment. Then change finding people in the second group list — count next to title, what reads first.",390,560
inst-0572,Change the overall feel.,390,560
inst-0573,"Show every order's state, not just the refunded one.",390,844
inst-0574,Rework the “Featured Voices” card structure.,390,844
inst-0575,Fill the top item card with the light warm gray of the page background instead of pink.,390,560
inst-0576,Change the order under trashed items. Make all trashed items permanently removable at once.,390,560
inst-0577,"Switch to a landscape tablet layout: recorder card left, markers list right, bottom tab bar to a left rail. Keep timer-to-waveform unbroken; make the minor detail weakest. And recorder card, a different color feel.",390,844
inst-0578,Change the album list to a featured top-album block above a compact list of the rest.,390,560
inst-0579,Add a small dark gray round close button with a white X at the photo's top-right.,390,560
inst-0580,"Add a small bookmark save button right of Message, same height, narrow Follow a bit. Then move the rating to the left end of the strip and make its number much larger than the other two. Fill product cards with the Verified badge's pale plum, round the corners, price in plum too.",390,844
inst-0582,"Replace adult/child with department and role, drop the room note. Split the list of four into two groups. Then add a way to clear the whole selection to the ""2 of 4 selected"" line.",390,560
inst-0583,Split the form fields into groups.,390,560
inst-0584,Let users choose to stay signed in. Change when the library image gets noticed.,390,844
inst-0586,"Make this a wide desktop window for mouse use. Add a mic button in the input bar, just left of send, for voice input. And make the sleep score the first thing seen in ""Last night"".",390,844
inst-0587,Replace the schedule line in the “Recovery Focus” card with a one-line summary of today’s modified exercise guidance.,390,844
inst-0588,"Show who some mutual followers are, not just how many.",390,560
inst-0589,Change the Savings card content order. Change what stands out in credit summary. Make the nonprofit identity clearer and keep comparison easy.,390,560
inst-0590,"Make family health communications easier for caregivers to manage. In each message, place the subject first, sender and time second, and the preview last. Replace the list heading’s left label with the selected patient’s name and caregiver relationship on one line.",390,844
inst-0591,Change the friend referral screen to a teammate invitation screen. Organize the invitation activity list differently. Make it feel professional and suited to workspace administration.,390,844
inst-0592,"Make this a blood-donation milestone: rarity line becomes where donations went, photo becomes the donation center. Then rethink what goes at the very bottom — and make the progress so far instantly feel celebratory.",390,560
inst-0594,Make the two date headers group by activity kind.,390,560
inst-0595,Let the complete-terms label open the full agreement.,390,844
inst-0596,Make the group headings in the results list stand out more.,390,844
inst-0598,Make it feel like a different service. Fully explain role saving before prompting users to browse.,390,844
inst-0601,The screen looks hazy overall; it should read crisper.,390,844
inst-0602,"Add a compact ""Archive"" action between the ""Delete"" and ""Cancel"" buttons.",390,560
inst-0603,"Add a full-width outlined ""Browse all circles"" button below the last row, above the divider.",390,560
inst-0604,Change how the updates feed is organized.,390,844
inst-0605,"In the ""Popular this week"" header, swap the gray count for a purple sort link with a caret.",390,844
inst-0606,"Let sellers monitor earnings and payouts. Change the balance summary’s visual order. Add a compact earnings statement download button to the right of the ""Recent activity"" header.",390,560
inst-0608,Change what leads in the limit note. Let users defer preference setup without leaving the flow. Emphasize the selected planning style option more.,390,844
inst-0609,"Make it about picking a nearby Meridian branch for pickup instead. Change how the branch list groups, and show which branch is worth visiting today without tapping.",390,560
inst-0610,Vary how the goal card is arranged.,390,560
inst-0611,Add last-practiced timing to each Continue learning row.,390,844
inst-0612,Make the overall organization feel different.,390,844
inst-0613,The minus/plus buttons' tone should change.,390,560
inst-0615,"Add counts to the other filter chips too, and make group headings a step larger and dark gray, date at the right edge of the same line.",390,844
inst-0616,Compress the month grid vertically with shallower day cells to give the agenda more room below. Change the visual treatment of the agenda card.,390,844
inst-0617,"Let visitors keep this event from the top. Then put the two entry lines in one row on top, purple button full-width below.",390,844
inst-0619,Center checkout in a desktop workspace and move app navigation into a slim left sidebar. Make the structure feel different. Give the payment button a different feel.,390,844
inst-0620,Make this a wholesale restock confirmation for a shop buyer. Rework how the card rows are organized. Then rework the top success badge's feel.,390,844
inst-0621,"Add one search field with a magnifier icon right above the recipient list. And the share button should read as main, channels secondary.",390,560
inst-0623,"Make each row one buyer with area and last showing date; swap ""Private by default"" for buyer count. Lay out the All collections list differently, and let the pinned card do more.",390,844
inst-0625,"Pull the share price under the fund name at double size, label small and gray beside it.",390,844
inst-0626,Make it a desktop workspace with compact top navigation and centered content beneath. Make one category at a time easy to focus on. Add a compact clear-downloads button beside the current value in the storage summary row.,390,844
inst-0627,"Under the two count lines in the score column, add a recent-months average line, small dark gray. Add a star rating filter next to ""Recent reviews"". Then make the three score boxes taller, label on top and number below, bigger bold, centered.",390,844
inst-0628,Add new-list creation to the note below the destination list.,390,560
inst-0629,"Make this a physio appointment cancellation instead; replace the weekly goal row with the late-cancellation fee. Then put the keep-appointment button on top at full width, cancel below as a short centered text button. And put the two rows under the message in a light gray rounded panel, no dividers, values dark gray.",390,560
inst-0630,Rework the paid plan headers and billing details section.,390,844
inst-0631,Rework how the card's gray note sits.,390,844
inst-0632,Make the masked email address changeable. Change when the bottom tabs get noticed. Remove the shadow from the code entry card.,390,844
inst-0633,"Swap the card's booking info for which unit and when it was visited. Make the three chapter rows read as an order, and viewers should mark the current moment for later, in-player.",390,844
inst-0634,"Change the community discovery screen into a local book-club experience with book-focused imagery and labels. Make the next meeting time visible. Arrange the featured book-club card in one row: compact image left, details center, join button right.",390,844
inst-0635,Add the search stage sequence to the progress area. Make the active search progress appear earlier. Make the loading card feel different.,390,560
inst-0636,Make it a nurse sending a patient visit recording. Then make it read as a wide desktop screen using the full width. Make the sending order and each step's progress clear.,390,844
inst-0637,Help people managing diabetes become aware of carbohydrates.,390,844
inst-0638,"Add a full-width button below the last Behind you row, above the locking note, opening the full ranking.",390,560
inst-0640,"Change how those three rows group, and add fabric, weight and size to the top title block.",390,844
inst-0641,Make local events easy to narrow down by date. Replace the first event-date preset with a compact row showing a calendar icon and chosen date. Arrange the event-type chips in one evenly divided row directly below the section heading.,390,844
inst-0642,"Turn it into the tutor's post-session report on the learner; bottom note becomes one line saying the learner will see this summary. Then, on desktop, fit it into one screen without scrolling — and show where this session sits in the course beforehand.",390,560
inst-0645,"Under the studio-and-date line, add another small gray line with the device, browser, and city. Let her fix the email address right here, then fill the top bar with the send button blue, make the title and back arrow white, remove the divider.",390,844
inst-0646,Give the Leaderboard panel rounded corners and a light gray shadow around its edges.,390,560
inst-0649,Make the badge progress continuing-education credits toward license renewal; put license and renewal period under the name. And make done and not-done read clearly apart.,390,560
inst-0650,Arrange upcoming charge and payment method differently.,390,560
inst-0651,Change the goal card and lists to the child's assigned school reading.,390,844
inst-0653,Change what reads first in booking rows.,390,844
inst-0654,Allow the account to be reported directly and separately. Change the top accent strip to dark red while keeping its current form.,390,560
inst-0655,"Rework the order of the invites list, and the code block needs more information.",390,560
inst-0657,"Turn the removal list into labeled groups, placing each existing consequence under its relevant category.",390,844
inst-0658,The top block should read clearly heavier than the list.,390,844
inst-0659,Make space between the header and bottom navigation feel vertically balanced.,390,844
inst-0660,"Make “Photo filter” and “Update sticker” a two-step sequence, in that order.",390,560
inst-0661,"Wrap the product row and the button in one bordered card under ""In this story""; drop the divider between them.",390,844
inst-0662,Make the order summary more compact. Keep filter order and use a light gray segmented control with active selection filled blue and white text.,390,844
inst-0665,"Let users move to a week other than the one showing. And Coach should read with the session info, not last — the chosen time should read as clearly picked at a glance.",390,560
inst-0666,Let users open the replies that contributed to the achievement.,390,560
inst-0667,Only a percentage shows; add the current restore step name.,390,844
inst-0668,Turn the phone frame into a tablet canvas and expand the interface across a wider reading area. Enable facilities teams to coordinate shared office setup purchases. Move the “Completed” section somewhere else.,390,844
inst-0669,"Let users get to days after the last one shown. Make the price read stronger than the note beside it — and make the whole sheet crisper, outlines clearly visible.",390,560
inst-0670,Turn the transfer screen into a program disbursement flow. Add a compact payout eligibility status label at the end of each participant’s secondary line.,390,844
inst-0672,"Move to tablet, keep the card at moderate width, centered with generous gray space both sides. Also show the receiving account in the recipient block. Then pull the amount onto its own line below the name, left-aligned and much bigger, currency label beside it.",390,560
inst-0673,Keep the credit flow within the price calculation.,390,844
inst-0674,Remove the times from the bubbles and group messages under small centered time markers between stretches.,390,844
inst-0675,Make the upload icon pause the upload. Change the upload progress indicator’s feel.,390,560
inst-0676,Organize the curated collections by financial goal. Add a short typical goal timeframe line beneath the product count on each goal card.,390,844
inst-0677,"Drop the green tint behind the plan card and invoice list, and then billing info first, spaces as a minor note.",390,560
inst-0678,"On tablet, split the main content into two columns: storage summary left, saved file list right.",390,844
inst-0680,"Add a small gray label on the right of each template row saying studio-made or built-in. And starting from an existing board should work here too — the card's top photo is too tall, reduce its height.",390,844
inst-0683,Change how the key metrics are grouped.,390,844
inst-0684,Put a small round back arrow over the top-left corner of the photo.,390,560
inst-0688,"Group the list by kind of mail, not time, and make clear which account this mailbox belongs to — then make the search field feel tappable and distinct from the pills.",390,844
inst-0692,"Add one clipped line of episode summary under the season line, above the host row. Then emphasize the remaining time under the progress bar.",390,560
inst-0693,"1. Rebuild the whole screen for a wide desktop. 2. Split the task list into status groups. 3. Replace every red accent, tone down the meeting card.",390,844
inst-0694,Change the position of the following date. Make the following state immediately recognizable.,390,560
inst-0695,Change how the saved files list is organized. And the top should read as the heaviest on screen.,390,560
inst-0696,"Make course content appear sooner while keeping the city image recognizable. Set up the first lesson’s ""Preview"" differently. Alternate white and light gray lesson rows, keeping the lesson numbers and preview button red.",390,844
inst-0697,"Should let someone pick and book a nearby dental clinic. Rebuild this for desktop and relocate the bottom tabs, and add a smaller gray line under the count with the search area and how far out it reaches.",390,844
inst-0698,Make the Details label indicate the field is optional.,390,844
inst-0699,Add a notify-when-streaming-returns option to the buttons below the text.,390,844
inst-0702,"Turn focus session screen into a smartwatch card centered on remaining time, retaining progress and removing service/workspace details.",390,560
inst-0704,"Rebuild this for desktop and move the bottom tab bar. Then, the feature rows run flat — group them by type.",390,844
inst-0705,Make event details a seller check-in brief; replace bottom reservation area with assigned booth and setup status.,390,844
inst-0706,"Make the card one vertical story, placing the bedtime window between the introduction and numbered guidance. Make the header feel different.",390,844
inst-0707,"Rewrite the top post as a language-study log. Then put two or three reactor names and an ""and others"" count before the totals line above the buttons.",390,844
inst-0708,"Add a left-aligned sort label above the list with price and ship date, current one in orange — just, ""You viewed recently"" shouldn't read as a second main section.",390,560
inst-0710,"Put student name and level in the title, show last practice.",390,844
inst-0711,Help mobility-device users judge whether they can visit.,390,560
inst-0712,"Fill the watch face — drop thumbnails, subtitle, footer note, stack the three names and pin buttons in rows.",390,560
inst-0713,Reduce the event image to about two-thirds of its current size beside the vertically centered event information.,390,560
inst-0715,Make completing signup clearly feel like the main priority.,390,844
inst-0716,"Make it a wide desktop layout, month labels in a left column, so no row text is clipped.",390,560
inst-0718,"Make the guidance and task feel distinct. Add a short second line to the expiry note with expected delivery timing and where to look. Place ""Contact support"" beside ""Sign in"" as a compact pair of secondary links.",390,844
inst-0720,"Expand the main white card to the screen edges, keeping its content comfortably inset.",390,560
inst-0721,"Ask only the broad kind here, the specific reason later.",390,560
inst-0722,"Make it support language learning and show expected difficulty. Turn the lesson queue into connected, numbered vertical steps with one lesson per stage.",390,844
inst-0723,"Make the course line and narrator run-based; swap the side button. Then make it dark and high-contrast, readable in bright sun.",390,560
inst-0725,"Add a compact ""Cancel"" button beside ""Resend"" in each pending invitation row.",390,844
inst-0726,"Make the in-progress step under ""Status"" stand out.",390,844
inst-0729,"Make it read as a desktop screen using the full width. Group the list under ""Open for funding"" by property type, and then add one line under the split text showing the average target yield of selected properties.",390,844
inst-0731,"Restructure the area under ""6 minutes left"". Then add a button to start practice from the widget. Make the minutes-left line read as the main message.",390,560
inst-0733,Lay this screen out differently. Then make the recommended plan read first of the three.,390,844
inst-0734,"Add a short note below the buttons about enabling camera access later in device settings. Make the red uppercase label above the title slightly smaller and closer, forming a compact heading group.",390,560
inst-0735,1. Rework what sits in the top bar 2. Change the color of the numbered section headings.,390,844
inst-0736,"Keep the top-right button in place, with dark gray text in a pale gray outlined pill.",390,560
inst-0737,Make the likely folders read apart from the rest.,390,560
inst-0738,"Turn recipe detail into a kidney-friendly meal guide, with the nutrition summary focused on renal-diet nutrients.",390,844
inst-0739,"Change how ""Your groups"" is organized.",390,844
inst-0740,"I'd like the title, intro, and second lines reworked as a team admin's bin. It'd be good to group the sections by time left, not state, and then tone down each row's background and button.",390,560
inst-0742,"Change the top title from the evening Spanish review to a medication reminder, and add one line under it naming which family member it's for. On desktop split the card side by side: photo and big time left, days and settings right. Then group the bottom two setting rows into a tinted block with a small heading above; leave the repeat note with the day row.",390,560
inst-0743,"Widen the card into two desktop columns — title left, station rows right, save on top. Then split the station list into labelled lifting and conditioning blocks, each numbered from one.",390,560
inst-0744,Let the top show what step comes next.,390,844
inst-0747,Make the desktop guide spacious with clear content regions. Connect the right-column chapter list into one continuous journey. Add starting location to the episode details panel.,390,844
inst-0748,"Split the four options into playback and save groups, each with a small gray label and a divider between. Then change what stands out first in the top title row. Change the feel of the bottom Cancel.",390,560
inst-0750,Separate the immediate next episode from later episodes in “Up Next”. Add the episode release date after the host information on the same line. Change the audio cover treatment.,390,844
inst-0751,"Make it a rehab patient's account: yellow block = week's prescribed sessions, activity rows prescribed exercises, steps → pain level. Then rebuild for landscape tablet: profile and yellow week block left, exercise and account lists right, tabs vertical. Make the three numbers under the yellow block catch the eye first.",390,844
inst-0752,"Make the saved item a property listing and collections buyer folders; put the buyer's name where private/shared is. And split the folder list into two labelled groups — touring buyers first, dormant ones below. Change what the top card shows first.",390,560
inst-0753,Rebuild the entire quiz screen for wide desktop.,390,844
inst-0754,Make personal learner and school-managed login paths clear.,390,844
inst-0756,Show this meal’s share of the daily calorie allowance.,390,844
inst-0757,"Put each of the three coupon rows on a light gray rounded band, drop the dividers.",390,560
inst-0758,Adapt the app screen for desktop. Emphasize the timer section more. And add a way to invite participants in the header.,390,560
inst-0761,Make clear at a glance whether the refund includes shipping.,390,560
inst-0762,Structure featured offer and coupon list differently.,390,844
inst-0763,Add a location and photo credit caption to the top photo.,390,844
inst-0764,"Move the highlighted first track into a now-playing block above the heading, keeping the rest together below.",390,844
inst-0766,Vary the emphasis within Listener reviews. Add the genre to the album metadata. Give the album artwork a different feel.,390,844
inst-0767,Add one compact line beneath the trip date showing flight and stay confirmation status. Update the styling of the trip card.,390,560
inst-0768,"Add a one-line version identifier below the ""Effective Date"" row in the document metadata.",390,844
inst-0770,"Make quiz progression feel like one focused, linear flow. And make the remaining quiz time clear at a glance. Let learners save the current question to revisit after the quiz.",390,844
inst-0771,"Change the order information appears. Place ""Archive"" above with stronger emphasis, and keep ""Delete permanently"" as the lower secondary action.",390,560
inst-0772,"Make this the artist help centre — hero, both question groups and contact rows about uploads and payouts, and swap the bottom tab for releases. Then rework the how-to list's reading order.",390,844
inst-0773,"Turn the order summary card into a grocery order review, replacing artist details with substitution preferences.",390,844
inst-0775,Turn the sign-in verification screen into a patient portal with secure health-record service name and supporting message. Place the alternate verification explanation and resend action side by side in a compact row beneath the divider. Change the screen’s overall color palette.,390,560
inst-0776,"Make it a desktop layout with the featured block and stay list side by side, bottom tabs moved to a left vertical nav. Then add a price/rating sort next to ""See all"" in the last section header. Move the location pill from the right edge to just under the title, slightly smaller.",390,844
inst-0778,"Should read as businesses rating a person they hired. Show at a glance whether reviews are praise or complaints, and rating bars need a different tone.",390,560
inst-0780,Change what appears first. Make requests easier to scan before opening them.,390,844
inst-0782,"Group the recent account and the ""or"" rows at top under one heading, email/password below under its own. Add a centered text action ""Browse without signing in"" directly beneath the Sign in button. And make the Email and Password fields white with a thin gray outline instead of the gray fill.",390,844
inst-0783,State the speaking skill learners will gain in the lesson summary. Add a compact audio button beside the “Quick Check” heading to play the example aloud.,390,844
inst-0784,"The answer card blends in, so rework its border and corners. Then, letting readers keep this answer for later.",390,560
inst-0786,"Make it read as a wide desktop view, not one column. Then let users sort collections by item count or recent updates.",390,560
inst-0787,"Add an ""Edit goal"" button to the card header. Give the circular progress a different feel.",390,560
