set_id,unit_ordinal,target_name,method_level,text
inst-0241,1,Style,3,Make the primary action feel decisive and high-contrast.
inst-0242,1,Content & Information,2,Show free space left after install in the size and time row.
inst-0243,1,Environment,2,Adapt the sign-in screen for desktop.
inst-0243,2,Content & Information,2,Add a password security guidance note.
inst-0243,3,Layout & Hierarchy,2,Change the top image’s position and size.
inst-0244,1,"Situation, Context & Scenario",3,"Make this read as a store restock, not personal."
inst-0244,2,Flow & Information Architecture,3,The three rows read as one lump; make them read as two groups.
inst-0244,3,Style,4,Rework the top product panel's feel.
inst-0245,1,Environment,3,Adapt the screen for tablet and keep the error message clear.
inst-0245,2,Style,3,Make the failure state more visually distinct.
inst-0246,1,Environment,1,"Rebuild for desktop as two columns — details left, lineup right — bottom tabs into a left vertical nav."
inst-0246,2,Style,4,Make the reserve button feel different
inst-0247,1,Style,1,"Give active “Appreciate” a white background, dark text, and yellow only on its icon and slim bottom accent."
inst-0248,1,"Situation, Context & Scenario",2,Change the friend referral screen to invite seller teammates.
inst-0249,1,Content & Information,4,Rework the line under the goal title.
inst-0250,1,"Situation, Context & Scenario",3,Let nurses plan shifts and see each shift’s assignment.
inst-0250,2,Layout & Hierarchy,1,Move the daily shift agenda above the month grid and make its rows slightly taller.
inst-0251,1,Environment,2,"Rebuild the shop screen for desktop, move the bottom nav."
inst-0251,2,Content & Information,1,Add a star rating and review count line under the spec line on each best-seller card.
inst-0252,1,"Situation, Context & Scenario",4,Put it together a bit differently.
inst-0253,1,"Situation, Context & Scenario",3,"Make it reviews for picking a repair contractor, showing job type."
inst-0254,1,Content & Information,3,Make billing commitment clear before a plan is chosen.
inst-0254,2,Layout & Hierarchy,4,Change when the currency note gets noticed.
inst-0254,3,Style,3,Make features easy to compare across plans and feel lighter.
inst-0255,1,"Situation, Context & Scenario",2,"Switch this to individual personal accounts, not workspace members."
inst-0255,2,Flow & Information Architecture,2,Break the paragraph under the headline into stages.
inst-0255,3,Style,2,Send button blends in — make its tone stronger
inst-0256,1,Environment,3,Use desktop space without stretching the follower list.
inst-0257,1,Style,2,Fill the top story block with a clearly different tone.
inst-0258,1,"Situation, Context & Scenario",4,Change the result card’s information order.
inst-0258,2,Layout & Hierarchy,4,Change when the merchant card gets noticed.
inst-0258,3,Style,2,Change the color of the confirmation mark.
inst-0259,1,"Situation, Context & Scenario",2,Change the top heading to a manager's move-out inspection.
inst-0259,2,Environment,3,Move the screen to tablet so the photo is large and the mark list stays visible
inst-0259,3,Content & Information,1,"Add a short severity word to each mark row, after the description, before the time."
inst-0260,1,"Situation, Context & Scenario",3,Make this a public charging session timer showing charge and cost.
inst-0261,1,"Situation, Context & Scenario",1,Turn the email verification card into a driver SMS step showing the masked mobile number in the intro.
inst-0261,2,Content & Information,3,Set expectations for possible carrier delays to verification messages.
inst-0262,1,"Situation, Context & Scenario",3,"Make it a caregiver credential application, not personal signup."
inst-0262,2,Functionality & Behavior,1,Add a license photo attach button right under the license number input in the card.
inst-0263,1,Environment,1,"Use a desktop article detail layout: centered reading column, bottom navigation in a slim left rail."
inst-0264,1,"Situation, Context & Scenario",2,"Change the search rows to renal-patient view, show sodium and potassium."
inst-0264,2,Functionality & Behavior,3,Let food results be sorted by mineral value
inst-0264,3,Layout & Hierarchy,2,"Reposition the ""Saved meals"" block."
inst-0265,1,Environment,1,"On desktop, place the balance summary in a left column and account details in a wider right column."
inst-0265,2,Flow & Information Architecture,1,"Change the account list to equal summary cards side by side, grouping each label, caption, and value."
inst-0266,1,Style,3,Too bright now — should feel like a dark night screen.
inst-0266,2,Content & Information,3,Should immediately show how far the listener got.
inst-0267,1,Environment,2,Adapt the screen for a tablet.
inst-0267,2,Flow & Information Architecture,2,Group the results by content type.
inst-0268,1,Functionality & Behavior,1,"Add one row of small status filter chips right under the Invoices heading, leftmost chip selected."
inst-0268,2,Style,1,"Make the top card white with a thin gray border, dark text, gray progress bar with dark fill."
inst-0269,1,Flow & Information Architecture,4,Change how the seller leaderboard is grouped
inst-0270,1,Layout & Hierarchy,1,"Make ""Choose a room"" a dark, larger sentence-case heading, left-aligned, with more space above the card."
inst-0271,1,"Situation, Context & Scenario",1,Make the lodging story a first-time park hiking guide; replace the featured stay with a compact readiness summary.
inst-0271,2,Flow & Information Architecture,1,Recast the headline and description as a short stacked itinerary with time-of-day stage labels.
inst-0272,1,Content & Information,4,Restructure the line under the progress bar
inst-0272,2,Style,2,Change the color of only the progress bar's filled part.
inst-0273,1,Flow & Information Architecture,2,Group the history timeline by activity type.
inst-0274,1,"Situation, Context & Scenario",1,"Turn this into podcast downloads screen: lists become episodes and shows with running time, cart tab becomes library."
inst-0275,1,Layout & Hierarchy,2,Rearrange the two buttons at the bottom.
inst-0276,1,Environment,4,Adapt the screen for desktop.
inst-0276,2,Flow & Information Architecture,4,Change how the track list is grouped.
inst-0276,3,Style,4,Change the header's color treatment.
inst-0277,1,Flow & Information Architecture,4,"Change how the three lines in ""Reserved"" are grouped."
inst-0277,2,Functionality & Behavior,3,Let users change or cancel the booking here.
inst-0277,3,Style,2,Change the color of the top purple banner.
inst-0278,1,Style,2,Change the search card’s styling.
inst-0279,1,Functionality & Behavior,4,Change the time row's arrangement.
inst-0280,1,Environment,1,Change the app frame to a centered desktop canvas with wide landscape proportions.
inst-0280,2,Flow & Information Architecture,2,Rework the structure of the cart item list.
inst-0280,3,Content & Information,3,Make it clearer when purchased licenses become available.
inst-0281,1,"Situation, Context & Scenario",3,Switch to food-safety certification prep with situation-based questions.
inst-0281,2,Environment,4,Change the screen to a tablet layout.
inst-0281,3,Functionality & Behavior,1,Add a small flag button in the top bar right of the question count to mark for later.
inst-0282,1,"Situation, Context & Scenario",2,Change the workspace pin card into a saved-recipe collection.
inst-0282,2,Layout & Hierarchy,2,Give the dish images in each recipe row more emphasis.
inst-0282,3,Functionality & Behavior,2,Add sorting to the saved recipe list heading.
inst-0283,1,Environment,4,Make this a desktop screen.
inst-0283,2,Content & Information,4,Add a bit more info to the two dates.
inst-0283,3,Layout & Hierarchy,4,Shift things around within the three invited rows.
inst-0284,1,Environment,1,"Make a desktop workspace: header in the left panel, study tasks in the wider right panel."
inst-0284,2,Flow & Information Architecture,3,Make the status groups clearly distinct.
inst-0284,3,Content & Information,3,Make the next study session time clear.
inst-0285,1,Environment,1,"Make it a landscape tablet screen, and stand the bottom tab bar vertically on the left."
inst-0285,2,Content & Information,3,Make it clear how far the restore has gotten.
inst-0285,3,Layout & Hierarchy,1,"Put the logo beside the name and tagline, left-aligned along the card top; keep the name largest."
inst-0286,1,Environment,2,Change the screen layout on desktop.
inst-0286,2,Flow & Information Architecture,2,Group feed updates by type.
inst-0286,3,Functionality & Behavior,4,Change what stands out in the header
inst-0287,1,Content & Information,2,Show the owner and their role on the community card.
inst-0287,2,Layout & Hierarchy,3,Make the invite link read first in the middle group.
inst-0287,3,Style,2,Colour the top check mark and the bits around it.
inst-0288,1,Functionality & Behavior,2,Let users clear the saved address from the email field.
inst-0288,2,Style,1,"Keep the Send button in place, with a navy fill and white label."
inst-0289,1,Content & Information,4,Rethink what the Settings bar holds.
inst-0289,2,Layout & Hierarchy,4,Make the headings above the cards stand out more
inst-0290,1,Flow & Information Architecture,1,"Make the scheduling form a compact three-step vertical stack: date, time, then review via the existing selection summary."
inst-0290,2,Content & Information,4,Change what leads in first-step date note.
inst-0290,3,Functionality & Behavior,2,Add a change option to the delivery address.
inst-0291,1,"Situation, Context & Scenario",4,Change the situation this screen serves.
inst-0291,2,Flow & Information Architecture,4,Change the preset list's reading order.
inst-0291,3,Content & Information,4,Change what the top preset block says.
inst-0292,1,Content & Information,1,Add a compact transfer reference line beneath the timing row in the transfer card.
inst-0292,2,Layout & Hierarchy,3,Make the transfer status the first thing users notice.
inst-0292,3,Style,3,Make active progress visually distinct.
inst-0293,1,Flow & Information Architecture,1,"Split ""Your circles"" into two labelled groups, ones with unread activity first."
inst-0293,2,Functionality & Behavior,1,"Add a small dismiss X at each suggestion row's far right, outside the Join button."
inst-0293,3,Style,4,Make the top bar's color different.
inst-0294,1,Environment,3,Create an experience suited to desktop.
inst-0294,2,Functionality & Behavior,4,Change how the Helpful guides list is organized
inst-0295,1,Content & Information,2,Add reward amount and sent date to the invite rows.
inst-0295,2,Style,1,"Fill the code block with the button's teal, text in white; flip Copy to white with teal text."
inst-0296,1,Environment,1,Make the tour screen a centered desktop panel with content and navigation spread across the wider frame.
inst-0296,2,Flow & Information Architecture,2,Turn the instruction list into a step-by-step flow.
inst-0296,3,Style,2,Add color contrast to the conversion diagram.
inst-0297,1,Flow & Information Architecture,1,Move the card counter to the progress bar's right end in small gray; keep only the date range.
inst-0297,2,Content & Information,1,"Add the change from last week with an up arrow under the amount, and shorten the sentence below."
inst-0297,3,Style,1,Swap the cyan accent for warm orange everywhere; dark brown text on the filled tile and button.
inst-0298,1,"Situation, Context & Scenario",2,Replace lodging details with sleeping capacity and a child-friendly amenity.
inst-0298,2,Functionality & Behavior,3,Let parents narrow stays by family needs first.
inst-0299,1,"Situation, Context & Scenario",1,"Turn the language-practice log into a rehab home-exercise log, skills → exercise groups, prescribing therapist under the total."
inst-0299,2,Functionality & Behavior,3,Let patients start today's record from this screen.
inst-0300,1,Environment,2,Rework the screen for desktop.
inst-0300,2,Functionality & Behavior,1,"Add a download button at the far right of each invoice row, after the amount."
inst-0301,1,Content & Information,4,Restructure the coach row.
inst-0301,2,Style,2,"Change the color tone of the top 'Yes, cancel session' button"
inst-0302,1,Content & Information,1,Add the scheduled end time as a short line beneath the remaining time.
inst-0303,1,Environment,2,Make it a desktop window and move the bottom icons.
inst-0304,1,Environment,3,Make the screen feel native as a desktop experience.
inst-0304,2,Flow & Information Architecture,1,"Split the transfer workspace into side-by-side stages: recipient selection and recent people, then amount entry and review."
inst-0304,3,Style,2,Change the styling of the amount-entry stage.
inst-0305,1,Functionality & Behavior,1,"Add a plus tile at the end of the photo row, shrink the thumbnails to keep one line."
inst-0305,2,Layout & Hierarchy,1,Move 'Visible in shop' to the top of the list and make its label larger and bold.
inst-0305,3,Style,2,"Input boxes all blend into the white page, add color."
inst-0306,1,"Situation, Context & Scenario",1,Make it a post-appointment feedback screen with clinician and appointment details replacing the playlist in the session card.
inst-0306,2,Flow & Information Architecture,2,Change how the feedback form is organized.
inst-0307,1,"Situation, Context & Scenario",2,Add assigned team to each line; discount line becomes company rate.
inst-0307,2,Flow & Information Architecture,1,"In the product list card, split into two groups with small headings: live courses on top, self-paced below."
inst-0308,1,Flow & Information Architecture,1,"Group the recommended groups list into compact goal-based sections under short category labels, keeping existing rows."
inst-0308,2,Style,2,Change the intro area's colors and typography.
inst-0309,1,"Situation, Context & Scenario",4,Change who this screen is for.
inst-0309,2,Flow & Information Architecture,2,Group the member list by whether they hit target.
inst-0310,1,"Situation, Context & Scenario",3,Enable guardians to monitor a child’s pronunciation coaching and progress.
inst-0310,2,Layout & Hierarchy,3,Make the guardian-facing purpose primary and coach identity supporting.
inst-0310,3,Functionality & Behavior,3,Enable a detailed view of the child's progress.
inst-0311,1,Content & Information,1,"Add the remaining days after the person's name on both ""Expiring soon"" rows' second line."
inst-0311,2,Layout & Hierarchy,1,"Stack the total above ""Empty Trash"", and make ""Empty Trash"" a full-width line, larger and bolder."
inst-0311,3,Style,2,Restore chips blend into the row — strengthen their color.
inst-0312,1,Layout & Hierarchy,4,Change the order in the instruction card.
inst-0312,2,Content & Information,4,Change the scan frame’s order.
inst-0312,3,Style,1,Make capture panel translucent black and secondary controls white; keep bright cyan for active mode/capture button.
inst-0313,1,Environment,4,Make this screen a tablet layout.
inst-0313,2,Functionality & Behavior,4,Let me open other weeks from Curriculum.
inst-0313,3,Layout & Hierarchy,4,Move the progress line and change its size
inst-0314,1,Environment,2,Change the screen to a desktop format.
inst-0314,2,Flow & Information Architecture,3,Make the learning progression easy to scan by stage.
inst-0315,1,Content & Information,4,Add timing information to the next-step guidance.
inst-0316,1,Environment,1,Make the screen a compact desktop dialog centered in a wider computer workspace.
inst-0316,2,Functionality & Behavior,3,Make permanent note deletion distinct from reversible actions.
inst-0317,1,Functionality & Behavior,4,Rework the card's bottom action area layout.
inst-0317,2,Style,3,"Color reads like an alert; make it calm, financial, still loudest."
inst-0318,1,Flow & Information Architecture,3,Create a clear four-stage flow covering every filter group.
inst-0318,2,Style,3,Create a clearly segmented look between current and remaining steps.
inst-0319,1,Environment,1,Reframe the welcome screen as a desktop page within a wider horizontal canvas.
inst-0319,2,Content & Information,1,Add a compact workspace preview with generic plan rows and status markers beside the welcome message.
inst-0319,3,Layout & Hierarchy,1,"Shorten the primary button to fit its label and arrow, left-aligned beneath the introduction."
inst-0320,1,Layout & Hierarchy,2,Separate the bottom primary button.
inst-0321,1,"Situation, Context & Scenario",2,"Swap the inbox to buyer inquiries, time slot to reply deadline"
inst-0322,1,Flow & Information Architecture,2,Regroup the event information section.
inst-0323,1,Style,3,"It blends into the background, make it clearly lifted."
inst-0324,1,"Situation, Context & Scenario",3,Make it useful for restaurant owners preparing menu item photos.
inst-0324,2,Layout & Hierarchy,3,Make the main focus appear before the styling controls.
inst-0325,1,Environment,2,Adapt the overall screen for desktop.
inst-0325,2,Content & Information,2,Add a brief group purpose description to the profile summary.
inst-0325,3,Style,3,Make the main progress area more distinct and focused.
inst-0326,1,Content & Information,3,Make eligibility clear before activation.
inst-0326,2,Style,4,Give the top image a different feel.
inst-0327,1,"Situation, Context & Scenario",3,"Make this about wildfire evacuation alerts, not card payments."
inst-0327,2,Style,4,Change the overall accent tone.
inst-0328,1,Layout & Hierarchy,1,"Place the main title first, description beneath, and audience context smaller at the header bottom."
inst-0329,1,Content & Information,2,Show the board count in the lower list header too.
inst-0330,1,Environment,2,Adapt the screen for a desktop environment.
inst-0330,2,Layout & Hierarchy,2,Change the payment and delivery address area layout.
inst-0330,3,Functionality & Behavior,2,Add receipt download to the header.
inst-0331,1,"Situation, Context & Scenario",3,Make this show the seller's own selling activity.
inst-0331,2,Flow & Information Architecture,3,Show at a glance which listings need attention and which don't.
inst-0331,3,Content & Information,3,Show how much interest each listing is getting.
inst-0332,1,Environment,1,"Turn the cart hold screen into a smartwatch view centered on remaining time, removing item details."
inst-0333,1,Functionality & Behavior,2,Let the bottom card's transaction list open the full history.
inst-0334,1,Flow & Information Architecture,3,Make related content come together by health area.
inst-0334,2,Content & Information,4,"Change the order in ""Readiness""."
inst-0335,1,"Situation, Context & Scenario",2,"Change the headline, body, and note to a failed vet appointment."
inst-0335,2,Content & Information,3,Make it clear which pet and what visit type.
inst-0336,1,"Situation, Context & Scenario",1,Make a field-service download screen; swap each item's workspace type and update date for site and visit schedule.
inst-0336,2,Flow & Information Architecture,1,"Group the saved list into today’s and upcoming visit sections, placing relevant packs under each heading."
inst-0336,3,Style,1,"Give the storage summary card a dark navy surface, white text, and high-contrast yellow usage bar."
inst-0337,1,"Situation, Context & Scenario",3,Make public classroom resource recommendations teacher-focused with fit information.
inst-0337,2,Layout & Hierarchy,2,Emphasize subject and grade range in the resource summary.
inst-0338,1,Functionality & Behavior,4,Rethink how the bottom buttons are arranged.
inst-0338,2,Layout & Hierarchy,1,"Photo full width in the preview box, title, date line, group stacked left-aligned below, title one step larger."
inst-0339,1,Content & Information,4,Structure the first article card’s info differently.
inst-0339,2,Layout & Hierarchy,4,Change what stands out in feed intro
inst-0340,1,Content & Information,3,Show whether files saved on devices get deleted too.
inst-0340,2,Style,1,"Fill the ""Continue to delete"" button deep red instead of teal, keep the white label."
inst-0341,1,"Situation, Context & Scenario",4,Make the overall flow feel different.
inst-0341,2,Layout & Hierarchy,3,Make choices easier to compare and emphasize the selection more.
inst-0342,1,"Situation, Context & Scenario",2,Replace the language-and-level line under the name with site and shift.
inst-0342,2,Layout & Hierarchy,1,"Make the first of the three bottom buttons half the row, the other two small beside it."
inst-0343,1,Content & Information,3,Make it immediately clear when the recording began.
inst-0343,2,Style,3,Make the active recording state feel urgent and distinctive.
inst-0344,1,Content & Information,1,"Add one line right under the ""Night 6 · Guided wind-down"" subtitle: nights finished, nights left."
inst-0344,2,Layout & Hierarchy,1,"First row under ""Next in program"": title larger, darker, more space around it; two below smaller, tighter."
inst-0345,1,"Situation, Context & Scenario",1,Change the whole screen to customer support ticket routing and show priority in the current ticket summary.
inst-0345,2,Functionality & Behavior,4,Give the queue list title a create action.
inst-0345,3,Layout & Hierarchy,1,"Stack the bottom ""Move"" button above ""Cancel,"" with both buttons the same width."
inst-0346,1,Environment,3,Make the screen desktop so everything reads at once without scrolling.
inst-0346,2,Layout & Hierarchy,4,Make the card's top label read first.
inst-0346,3,Style,1,"Make the magenta bar under the chart white-filled with magenta outline, text and icon; keep size and place."
inst-0347,1,"Situation, Context & Scenario",1,"Make the product detail screen caregiver-focused for older adults, replacing purchase options with medication and health-condition cautions."
inst-0347,2,Layout & Hierarchy,4,Change the per-serving section’s order on the page.
inst-0347,3,Style,1,"Make the top product introduction panel pale gray, with navy headings, dark gray text, and blue chips."
inst-0348,1,Functionality & Behavior,3,Let users actually switch plans from this screen.
inst-0348,2,Layout & Hierarchy,2,Make the suggested plan column bigger than the other two.
inst-0348,3,Style,3,Reads like a ruled grid — make it feel grouped.
inst-0349,1,"Situation, Context & Scenario",2,Turn Payment Methods into a payout accounts screen.
inst-0349,2,Content & Information,2,Add available balance and next payout to the intro.
inst-0349,3,Functionality & Behavior,2,Add a direct payout action to the primary add button.
inst-0350,1,Environment,2,"Screen is still a phone column, lay it out for desktop."
inst-0350,2,Flow & Information Architecture,2,Split the comment list into answered and unanswered.
inst-0350,3,Content & Information,4,Show more in the comment box
inst-0351,1,Flow & Information Architecture,4,Change how the detail list groups information.
inst-0351,2,Functionality & Behavior,4,Add another action to the version badge.
inst-0351,3,Style,4,Give the app mark a different brand feel.
inst-0352,1,Environment,4,Move this screen to a tablet.
inst-0352,2,Content & Information,4,Show more time detail in each agenda row.
inst-0352,3,Style,4,Change the color of the calendar bars.
inst-0353,1,"Situation, Context & Scenario",2,Make this screen a medication planner for family caregivers.
inst-0353,2,Flow & Information Architecture,2,Rework the medication plan summary in the reply.
inst-0354,1,Content & Information,3,Let people tell what the next episode covers before playing
inst-0354,2,Layout & Hierarchy,1,"Make the episode count large on the left, percentage small on the right; leave the bar and end labels."
inst-0355,1,Environment,1,Make the annotation screen a desktop workspace with wider editing and existing navigation fixed on the left.
inst-0355,2,Flow & Information Architecture,1,"Combine frame metadata, note summary, and media status in that order into one review panel beside the canvas."
inst-0356,1,Flow & Information Architecture,3,"Show remaining steps apart from the finished ones, keep finished visible."
inst-0356,2,Style,1,"Fill the top hero with the same cream as the sections, make the title bigger, round the author initials."
inst-0357,1,Environment,2,Adapt the screen for desktop.
inst-0357,2,Layout & Hierarchy,3,Make signup methods easier to compare with less scrolling.
inst-0357,3,Content & Information,4,"Add explanatory text to the ""Work email"" field."
inst-0358,1,Environment,1,"Switch the screen to desktop: widen the waiting card into a centered panel, drop the phone-width frame."
inst-0358,2,Functionality & Behavior,2,Add a cancel button at the bottom of the card.
inst-0358,3,Layout & Hierarchy,2,Move the progress bar up and make it thicker
inst-0359,1,Content & Information,3,Make it clear whether cancellation can be reversed.
inst-0360,1,"Situation, Context & Scenario",1,"Make it a shared-desk clinic staff sign-in; add a work-site line under the password, drop recent accounts."
inst-0361,1,"Situation, Context & Scenario",4,Change this to a different service.
inst-0361,2,Environment,4,Adapt the screen for desktop.
inst-0361,3,Content & Information,4,Add more information to the alert cards.
inst-0362,1,Environment,1,"Center it as a desktop dialog over a dimmed page, two bottom buttons side by side at right."
inst-0362,2,Functionality & Behavior,4,Restructure the quoted post block
inst-0362,3,Layout & Hierarchy,3,Reason choices should catch the eye before the intro text.
inst-0363,1,Environment,2,Feels like a stretched phone — rebuild this layout for desktop.
inst-0363,2,Flow & Information Architecture,1,"Split the four cards into two titled sections: photo and both fields, then interests and daily goal."
inst-0364,1,Environment,2,Adapt the screen for desktop.
inst-0364,2,Layout & Hierarchy,3,Make balance and plan progress easy to compare at a glance.
inst-0365,1,Flow & Information Architecture,4,Change how the coupon list is grouped.
inst-0365,2,Style,1,"Lay the top credit block on a light gray rounded panel, roomy inside, amount and button colors unchanged."
inst-0366,1,"Situation, Context & Scenario",1,"Turn ""Recently Deleted"" into a team recycle bin, replacing thumbnails with file-type previews."
inst-0366,2,Content & Information,1,Add the deleting team member’s name to the metadata line beneath each file name.
inst-0367,1,Environment,4,Rebuild the editing screen for desktop.
inst-0367,2,Flow & Information Architecture,2,Separate the Size slider from the angle sliders.
inst-0368,1,Environment,4,Change the screen to a desktop view.
inst-0368,2,Style,2,Change the upgrade card’s visual styling.
inst-0369,1,Functionality & Behavior,4,Let me tap the sort text by 'All followers'.
inst-0369,2,Style,3,Make the profile spot stand out when scanning rows.
inst-0370,1,Flow & Information Architecture,1,"Split the form into three compact numbered sections: “Meal details,” “Foods,” then final review."
inst-0370,2,Content & Information,4,Change when the calorie total gets noticed.
inst-0371,1,Environment,4,Move this screen to desktop.
inst-0371,2,Content & Information,4,Add one more piece of info to each folder row.
inst-0372,1,Environment,1,"Make the screen a desktop view with one compact content column in a wider, centered workspace."
inst-0372,2,Functionality & Behavior,4,"Add a reversal action to the ""Save"" button."
inst-0373,1,"Situation, Context & Scenario",2,Make it a museum exhibition audio tour; price/stock becomes gallery room.
inst-0373,2,Flow & Information Architecture,2,Split the list below by floor and number the stops.
inst-0374,1,"Situation, Context & Scenario",1,Turn the sign-in screen into a host portal with a property and guest management introduction.
inst-0374,2,Style,3,Make it feel professional and operational for hosts.
inst-0375,1,Environment,3,Make the screen desktop so repeat settings show at a glance
inst-0375,2,Style,2,The three date rows look heavy — change their background.
inst-0376,1,Flow & Information Architecture,4,Change how the chapter list is organized.
inst-0377,1,Environment,1,"Make it watch-sized: stack the current stop and play under the title, drop the bottom tab bar."
inst-0378,1,"Situation, Context & Scenario",4,Change this screen to target a different audience.
inst-0378,2,Functionality & Behavior,1,Add a small add-recipient button at the right edge of the reminder delivery row.
inst-0379,1,Content & Information,4,Change how the completion message flows.
inst-0379,2,Layout & Hierarchy,1,Make the success illustration slightly smaller and place it closer to the completion heading.
inst-0379,3,Style,3,Make the completion state feel more distinct from standard information panels.
inst-0380,1,"Situation, Context & Scenario",2,Replace the terms text with a clinical trial consent form.
inst-0380,2,Environment,2,Rebuild the whole screen for desktop.
inst-0380,3,Layout & Hierarchy,2,"Enlarge the version and date, split off the section count."
inst-0381,1,Flow & Information Architecture,4,Rework category filters and product list structure.
inst-0382,1,Style,4,Change the top balance card's tone.
inst-0383,1,"Situation, Context & Scenario",4,Rethink what this screen is for.
inst-0383,2,Environment,1,"On a landscape tablet, put course info left, lesson list right, tabs as a left rail."
inst-0383,3,Layout & Hierarchy,2,Tone down the three instructors block.
inst-0384,1,"Situation, Context & Scenario",3,"Make it for drivers extending parking, with location and added cost."
inst-0384,2,Functionality & Behavior,3,Make it possible to confirm and pay for the selected extension.
inst-0385,1,Functionality & Behavior,1,Add a dark gray X at the far right of the title so you can leave without saving.
inst-0385,2,Layout & Hierarchy,4,"Change where the ""New list"" line sits."
inst-0386,1,Functionality & Behavior,3,Let users play the full series from the episode section.
inst-0387,1,Layout & Hierarchy,1,"Reorder chapter rows: titles left, timestamps in a narrow right-aligned column, chevrons or playing marks far right."
inst-0388,1,Flow & Information Architecture,2,Group the popular questions by topic.
inst-0389,1,Flow & Information Architecture,3,Separate content by the kind of engagement received.
inst-0389,2,Functionality & Behavior,3,Make it quick to create a new post.
inst-0390,1,"Situation, Context & Scenario",3,Make it show what teammates did to shared files.
inst-0390,2,Layout & Hierarchy,3,Each row should read as one left-aligned block.
inst-0391,1,Content & Information,3,Make the lesson easier to verify before sharing.
inst-0392,1,Flow & Information Architecture,4,Show order in the three middle rows
inst-0393,1,"Situation, Context & Scenario",4,Change the target audience for this screen.
inst-0393,2,Flow & Information Architecture,2,Reorganize the service terms clause list.
inst-0393,3,Content & Information,2,Add the employer’s information access scope to the top review notice.
inst-0394,1,"Situation, Context & Scenario",2,Turn the top card and to-dos into a shoot call sheet.
inst-0394,2,Environment,2,Rebuild the whole screen for a wide landscape tablet.
inst-0394,3,Style,2,"Change the yellow's tone on badge, done circles, and tab marker."
inst-0395,1,Environment,4,Adapt the screen for desktop.
inst-0395,2,Layout & Hierarchy,2,Rearrange the retention chart and chapter breakdown.
inst-0396,1,Functionality & Behavior,3,Let a course be saved right from the results list.
inst-0396,2,Style,4,Change the filter chips' color feel.
inst-0397,1,Content & Information,2,Add ride length and terminal arrival time to the time labels.
inst-0397,2,Functionality & Behavior,4,Let the driver row do more.
inst-0398,1,"Situation, Context & Scenario",4,Change how the situation feels.
inst-0398,2,Flow & Information Architecture,4,Change the date and time selection order.
inst-0398,3,Style,4,Make selected dates and times feel different.
inst-0399,1,Environment,4,Change the screen for tablet use.
inst-0400,1,Layout & Hierarchy,1,"Card's bottom total larger and bolder than the two rows above, extra space above, same spot."
inst-0401,1,"Situation, Context & Scenario",3,Make eligibility central for individual students renewing education plans.
inst-0401,2,Layout & Hierarchy,1,"Put the credit panel directly below the introduction, making its amount more prominent than the banner image."
inst-0401,3,Style,4,Make the other offers list feel different.
inst-0402,1,Environment,1,"Make the screen a desktop layout — a centered floating dialog, and drop the drag handle."
inst-0402,2,Flow & Information Architecture,4,Regroup the actions under the button.
inst-0402,3,Content & Information,4,Make the top summary tell more.
inst-0403,1,"Situation, Context & Scenario",3,Make it for patients to check healthcare communications.
inst-0403,2,Content & Information,3,Show the next appointment date and time.
inst-0403,3,Layout & Hierarchy,3,Make the care topic catch the eye first.
inst-0404,1,"Situation, Context & Scenario",4,Change how this screen is organized.
inst-0404,2,Layout & Hierarchy,2,"In the top block, push the title, quiet the label."
inst-0404,3,Style,1,Round the white panel's corners more and lift it off the grey background with a light gray shadow.
inst-0405,1,Content & Information,2,Add a content summary to the episode details.
inst-0405,2,Layout & Hierarchy,2,Separate speed from the main playback controls.
inst-0406,1,Functionality & Behavior,2,Add a text size control to the top bar.
inst-0406,2,Layout & Hierarchy,4,Change what stands out in the author info.
inst-0407,1,"Situation, Context & Scenario",4,Give it a different overall feel.
inst-0407,2,Flow & Information Architecture,3,Separate company information from legal information.
inst-0407,3,Content & Information,2,Add a copyright notice to the version details.
inst-0408,1,Flow & Information Architecture,2,Group the list by notice type instead of New / Earlier.
inst-0408,2,Content & Information,2,Show the account or service name on each notification.
inst-0408,3,Functionality & Behavior,3,Let me find one specific past notification.
inst-0409,1,"Situation, Context & Scenario",1,"Turn the product listing editor into a workshop editor, replacing Condition with a date and time field."
inst-0410,1,"Situation, Context & Scenario",2,Change title and the line under the button to magazine subscription.
inst-0411,1,Content & Information,4,Change the order in the editing toolbar.
inst-0412,1,Environment,2,Change the screen for desktop.
inst-0412,2,Content & Information,4,Add flow guidance above the primary button.
inst-0413,1,"Situation, Context & Scenario",1,"Turn the feed into local bird sightings, with species, place, and time in each post’s context line."
inst-0413,2,Layout & Hierarchy,3,Make the observed species the first detail people notice.
inst-0414,1,Flow & Information Architecture,2,Group the email field through the send button into two stages.
inst-0414,2,Style,4,Colours all blend together — rework them.
inst-0415,1,"Situation, Context & Scenario",3,Let parents manage a shared learning balance for linked learners.
inst-0415,2,Content & Information,4,Change what stands out in activity details.
inst-0415,3,Functionality & Behavior,3,Let parents distribute shared credits to a linked learner.
inst-0416,1,Flow & Information Architecture,4,Change how the selected-date agenda is grouped.
inst-0416,2,Functionality & Behavior,4,Change what appears first in month controls
inst-0417,1,Flow & Information Architecture,1,"Split ""Scanned today"" into meal groups, each led by a time-span and calorie subtotal row; drop per-row times."
inst-0417,2,Style,4,Retone the white area below the viewfinder
inst-0418,1,"Situation, Context & Scenario",3,Let teens report DMs and receive age-appropriate safety guidance.
